CUSTOMER_ID,CUSTOMERNAME,COUNTRY,CITY,STATE,POSTALCODE,TERRITORY,PHONE
1,Land of Toys Inc.,USA,NYC,NY,10022,,2125557818
2,Reims Collectables,France,Reims,,51100,EMEA,26.47.1555
3,Lyon Souveniers,France,Paris,,75508,EMEA,+33 1 46 62 7555
4,Toys4GrownUps.com,USA,Pasadena,CA,90003,,6265557265
5,Corporate Gift Ideas Co.,USA,San Francisco,CA,,,6505551386
6,Technics Stores Inc.,USA,Burlingame,CA,94217,,6505556809
7,Daedalus Designs Imports,France,Lille,,59000,EMEA,20.16.1555
8,Herkku Gifts,Norway,Bergen,,N 5804,EMEA,+47 2267 3215
9,Mini Wheels Co.,USA,San Francisco,CA,,,6505555787
10,Auto Canal Petit,France,Paris,,75016,EMEA,(1) 47.55.6555
11,"Australian Collectors, Co.",Australia,Melbourne,Victoria,3004,APAC,03 9520 4555
12,Vitachrome Inc.,USA,NYC,NY,10022,,2125551500
13,Tekni Collectables Inc.,USA,Newark,NJ,94019,,2015559350
14,Gift Depot Inc.,USA,Bridgewater,CT,97562,,2035552570
15,La Rochelle Gifts,France,Nantes,,44000,EMEA,40.67.8555
16,Marta's Replicas Co.,USA,Cambridge,MA,51247,,6175558555
17,"Toys of Finland, Co.",Finland,Helsinki,,21240,EMEA,90-224 8555
18,Baane Mini Imports,Norway,Stavern,,4110,EMEA,07-98 9555
19,Diecast Classics Inc.,USA,Allentown,PA,70267,,2155551555
20,Salzburg Collectables,Austria,Salzburg,,5020,EMEA,6562-9555
21,Souveniers And Things Co.,Australia,Chatswood,NSW,2067,APAC,+61 2 9495 8555
22,FunGiftIdeas.com,USA,New Bedford,MA,50553,,5085552555
23,"UK Collectables, Ltd.",UK,Liverpool,,WX1 6LT,EMEA,(171) 555-2282
24,Euro Shopping Channel,Spain,Madrid,,28034,EMEA,(91) 555 94 44
25,"Volvo Model Replicas, Co",Sweden,Lule,,S-958 22,EMEA,0921-12 3555
26,"Corrida Auto Replicas, Ltd",Spain,Madrid,,28023,EMEA,(91) 555 22 82
27,"Dragon Souveniers, Ltd.",Singapore,Singapore,,79903,Japan,+65 221 7555
28,Classic Legends Inc.,USA,NYC,NY,10022,,2125558493
29,"Australian Gift Network, Co",Australia,South Brisbane,Queensland,4101,APAC,61-7-3844-6555
30,"Classic Gift Ideas, Inc",USA,Philadelphia,PA,71270,,2155554695
31,"Saveley & Henriot, Co.",France,Lyon,,69004,EMEA,78.32.5555
32,Canadian Gift Exchange Network,Canada,Vancouver,BC,V3F 2K1,,(604) 555-3392
33,West Coast Collectables Co.,USA,Burbank,CA,94019,,3105553722
34,Cambridge Collectables Co.,USA,Cambridge,MA,51247,,6175555555
35,Super Scale Inc.,USA,New Haven,CT,97823,,2035559545
36,"Tokyo Collectables, Ltd",Japan,Minato-ku,Tokyo,106-0032,Japan,+81 3 3584 0555
37,Amica Models & Co.,Italy,Torino,,10100,EMEA,011-4988555
38,Scandinavian Gift Ideas,Sweden,Boras,,S-844 67,EMEA,0695-34 6555
