DATA,DATE_ID,ANO,MES,MES_NOME,TRIMESTRE,DIA,DIA_SEMANA
2003-02-24,1,2003,2,February,1,24,Monday
2003-05-07,2,2003,5,May,2,7,Wednesday
2003-07-01,3,2003,7,July,3,1,Tuesday
2003-08-25,4,2003,8,August,3,25,Monday
2003-10-10,5,2003,10,October,4,10,Friday
2003-10-28,6,2003,10,October,4,28,Tuesday
2003-11-11,7,2003,11,November,4,11,Tuesday
2003-11-18,8,2003,11,November,4,18,Tuesday
2003-12-01,9,2003,12,December,4,1,Monday
2004-01-15,10,2004,1,January,1,15,Thursday
2004-02-20,11,2004,2,February,1,20,Friday
2004-04-05,12,2004,4,April,2,5,Monday
2004-05-18,13,2004,5,May,2,18,Tuesday
2004-06-28,14,2004,6,June,2,28,Monday
2004-07-23,15,2004,7,July,3,23,Friday
2004-08-27,16,2004,8,August,3,27,Friday
2004-09-30,17,2004,9,September,3,30,Thursday
2004-10-15,18,2004,10,October,4,15,Friday
2004-11-02,19,2004,11,November,4,2,Tuesday
2004-11-15,20,2004,11,November,4,15,Monday
2004-11-24,21,2004,11,November,4,24,Wednesday
2004-12-17,22,2004,12,December,4,17,Friday
2005-02-03,23,2005,2,February,1,3,Thursday
2005-03-03,24,2005,3,March,1,3,Thursday
2005-04-08,25,2005,4,April,2,8,Friday
2005-05-13,26,2005,5,May,2,13,Friday
2003-01-29,27,2003,1,January,1,29,Wednesday
2003-03-24,28,2003,3,March,1,24,Monday
2003-05-28,29,2003,5,May,2,28,Wednesday
2003-07-24,30,2003,7,July,3,24,Thursday
2003-09-19,31,2003,9,September,3,19,Friday
2003-10-20,32,2003,10,October,4,20,Monday
2003-11-06,33,2003,11,November,4,6,Thursday
2003-11-13,34,2003,11,November,4,13,Thursday
2003-11-25,35,2003,11,November,4,25,Tuesday
2003-12-05,36,2003,12,December,4,5,Friday
2004-01-29,37,2004,1,January,1,29,Thursday
2004-03-10,38,2004,3,March,1,10,Wednesday
2004-05-04,39,2004,5,May,2,4,Tuesday
2004-06-15,40,2004,6,June,2,15,Tuesday
2004-07-19,41,2004,7,July,3,19,Monday
2004-08-17,42,2004,8,August,3,17,Tuesday
2004-09-08,43,2004,9,September,3,8,Wednesday
