ORDERNUMBER,ORDERLINENUMBER,DATE_ID,PRODUCT_ID,CUSTOMER_ID,QUANTITYORDERED,PRICEEACH,SALES,STATUS,DEALSIZE
10107,2,1,1,1,30,95.7,2871.0,Shipped,Small
10121,5,2,1,2,34,81.35,2765.9,Shipped,Small
10134,2,3,1,3,41,94.74,3884.34,Shipped,Medium
10145,6,4,1,4,45,83.26,3746.7,Shipped,Medium
10159,14,5,1,5,49,100.0,5205.27,Shipped,Medium
10168,1,6,1,6,36,96.66,3479.76,Shipped,Medium
10180,9,7,1,7,29,86.13,2497.77,Shipped,Small
10188,1,8,1,8,48,100.0,5512.32,Shipped,Medium
10201,2,9,1,9,22,98.57,2168.54,Shipped,Small
10211,14,10,1,10,41,100.0,4708.44,Shipped,Medium
10223,1,11,1,11,37,100.0,3965.66,Shipped,Medium
10237,7,12,1,12,23,100.0,2333.12,Shipped,Small
10251,2,13,1,13,28,100.0,3188.64,Shipped,Medium
10263,2,14,1,14,34,100.0,3676.76,Shipped,Medium
10275,1,15,1,15,45,92.83,4177.35,Shipped,Medium
10285,6,16,1,16,36,100.0,4099.68,Shipped,Medium
10299,9,17,1,17,23,100.0,2597.39,Shipped,Small
10309,5,18,1,18,41,100.0,4394.38,Shipped,Medium
10318,1,19,1,19,46,94.74,4358.04,Shipped,Medium
10329,1,20,1,1,42,100.0,4396.14,Shipped,Medium
10341,9,21,1,20,41,100.0,7737.93,Shipped,Large
10361,13,22,1,21,20,72.55,1451.0,Shipped,Small
10375,12,23,1,15,21,34.91,733.11,Shipped,Small
10388,4,24,1,22,42,76.36,3207.12,Shipped,Medium
10403,7,25,1,23,24,100.0,2434.56,Shipped,Small
10417,2,26,1,24,66,100.0,7516.08,Disputed,Large
10103,11,27,2,18,26,100.0,5404.62,Shipped,Medium
10112,1,28,2,25,29,100.0,7209.11,Shipped,Large
10126,11,29,2,26,38,100.0,7329.06,Shipped,Large
10140,11,30,2,6,37,100.0,7374.1,Shipped,Large
10150,8,31,2,27,45,100.0,10993.5,Shipped,Large
10163,1,32,2,28,21,100.0,4860.24,Shipped,Medium
10174,4,33,2,29,34,100.0,8014.82,Shipped,Large
10183,8,34,2,30,23,100.0,5372.57,Shipped,Medium
10194,11,35,2,31,42,100.0,7290.36,Shipped,Large
10206,6,36,2,32,47,100.0,9064.89,Shipped,Large
10215,3,37,2,33,35,100.0,6075.3,Shipped,Medium
10228,2,38,2,34,29,100.0,6463.23,Shipped,Medium
10245,9,39,2,35,34,100.0,6120.34,Shipped,Medium
10258,6,40,2,36,32,100.0,7680.64,Shipped,Large
10270,9,41,2,21,21,100.0,4905.39,Shipped,Medium
10280,2,42,2,37,34,100.0,8014.82,Shipped,Large
10291,11,43,2,38,37,100.0,7136.19,Shipped,Large
10304,6,44,2,39,47,100.0,10172.7,Shipped,Large
10312,3,45,2,40,48,100.0,11623.7,Shipped,Large
10322,1,46,2,41,40,100.0,6000.4,Shipped,Medium
10333,3,47,2,9,26,100.0,3003.0,Shipped,Medium
10347,1,48,2,11,30,100.0,3944.7,Shipped,Medium
