ORDERDATE,PRODUCTLINE,CUSTOMERNAME,COUNTRY,SALES,QUANTITYORDERED,PRICEEACH,STATUS
2003-02-24,Motorcycles,Land of Toys Inc.,USA,2871.0,30,95.7,Shipped
2003-05-07,Motorcycles,Reims Collectables,France,2765.9,34,81.35,Shipped
2003-07-01,Motorcycles,Lyon Souveniers,France,3884.34,41,94.74,Shipped
2003-08-25,Motorcycles,Toys4GrownUps.com,USA,3746.7,45,83.26,Shipped
2003-10-10,Motorcycles,Corporate Gift Ideas Co.,USA,5205.27,49,100.0,Shipped
2003-10-28,Motorcycles,Technics Stores Inc.,USA,3479.76,36,96.66,Shipped
2003-11-11,Motorcycles,Daedalus Designs Imports,France,2497.77,29,86.13,Shipped
2003-11-18,Motorcycles,Herkku Gifts,Norway,5512.32,48,100.0,Shipped
2003-12-01,Motorcycles,Mini Wheels Co.,USA,2168.54,22,98.57,Shipped
2004-01-15,Motorcycles,Auto Canal Petit,France,4708.44,41,100.0,Shipped
2004-02-20,Motorcycles,"Australian Collectors, Co.",Australia,3965.66,37,100.0,Shipped
2004-04-05,Motorcycles,Vitachrome Inc.,USA,2333.12,23,100.0,Shipped
2004-05-18,Motorcycles,Tekni Collectables Inc.,USA,3188.64,28,100.0,Shipped
2004-06-28,Motorcycles,Gift Depot Inc.,USA,3676.76,34,100.0,Shipped
2004-07-23,Motorcycles,La Rochelle Gifts,France,4177.35,45,92.83,Shipped
2004-08-27,Motorcycles,Marta's Replicas Co.,USA,4099.68,36,100.0,Shipped
2004-09-30,Motorcycles,"Toys of Finland, Co.",Finland,2597.39,23,100.0,Shipped
2004-10-15,Motorcycles,Baane Mini Imports,Norway,4394.38,41,100.0,Shipped
2004-11-02,Motorcycles,Diecast Classics Inc.,USA,4358.04,46,94.74,Shipped
2004-11-15,Motorcycles,Land of Toys Inc.,USA,4396.14,42,100.0,Shipped
2004-11-24,Motorcycles,Salzburg Collectables,Austria,7737.93,41,100.0,Shipped
2004-12-17,Motorcycles,Souveniers And Things Co.,Australia,1451.0,20,72.55,Shipped
2005-02-03,Motorcycles,La Rochelle Gifts,France,733.11,21,34.91,Shipped
2005-03-03,Motorcycles,FunGiftIdeas.com,USA,3207.12,42,76.36,Shipped
2005-04-08,Motorcycles,"UK Collectables, Ltd.",UK,2434.56,24,100.0,Shipped
2005-05-13,Motorcycles,Euro Shopping Channel,Spain,7516.08,66,100.0,Disputed
2003-01-29,Classic Cars,Baane Mini Imports,Norway,5404.62,26,100.0,Shipped
2003-03-24,Classic Cars,"Volvo Model Replicas, Co",Sweden,7209.11,29,100.0,Shipped
2003-05-28,Classic Cars,"Corrida Auto Replicas, Ltd",Spain,7329.06,38,100.0,Shipped
2003-07-24,Classic Cars,Technics Stores Inc.,USA,7374.1,37,100.0,Shipped
2003-09-19,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,10993.5,45,100.0,Shipped
2003-10-20,Classic Cars,Classic Legends Inc.,USA,4860.24,21,100.0,Shipped
2003-11-06,Classic Cars,"Australian Gift Network, Co",Australia,8014.82,34,100.0,Shipped
2003-11-13,Classic Cars,"Classic Gift Ideas, Inc",USA,5372.57,23,100.0,Shipped
2003-11-25,Classic Cars,"Saveley & Henriot, Co.",France,7290.36,42,100.0,Shipped
2003-12-05,Classic Cars,Canadian Gift Exchange Network,Canada,9064.89,47,100.0,Shipped
2004-01-29,Classic Cars,West Coast Collectables Co.,USA,6075.3,35,100.0,Shipped
